Product;Price
Inno3D TWIN X2 GeForce RTX 3060 12GB GDDR6;365.03
Inno3D GeForce RTX 4080 ICHILL X3 16GB GDDR6X DLSS3;1499.9
Zotac Gaming GeForce RTX 3080 Trinity LHR 10GB GDDR6X;911.0
MSI GeForce RTX 4060 Ti GAMING X SLIM White Edition 16GB GDDR6 DLSS3;619.0
Sapphire NITRO+ AMD Radeon RX 6800 XT OC SE Gaming 16GB GDDR6;527.9
PNY A2000 Nvidia RTX A2000 6GB GDDR6;599.9
Gigabyte AORUS GeForce RTX 3090 XTREME 24GB GDDRX6;1005.65
MSI AMD Radeon RX 6750 XT GAMING X TRIO 12GB GDDR6;646.09
PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate 16GB GDDR6;1095.92
Gigabyte GeForce RTX­­ 4070 GAMING OC 12 GB GDDR6X DLSS3;749.0
Inno3D GeForce RTX 3060 Twin X2 OC 12GB GDDR6;434.48
ASUS TUF Gaming GeForce RTX 4090 OG OC Edition 24GB GDDR6X DLSS3;2429.0
MSI GeForce RTX 4080 SUPRIM X 16GB GDDR6X DLSS3;1599.9
Asrock Radeon RX 7800 XT Steel Legend OC 16GB GDDR6;681.13
Gigabyte GeForce RTX 3080 TURBO Rev 2.0 LHR 10GB GDDR6X;1132.75
Sapphire AMD Radeon RX 7800 XT 16GB GDDR6;739.0
Gigabyte AORUS GeForce RTX 4070 Ti ELITE 12GB GDDR6X DLSS3;1074.38
Asus GeForce GTX 1650 SUPER TUF Gaming OC 4GB GDDR6;303.1
AsRock Radeon RX 5700 XT Phantom Gaming D OC 8GB GDDR6;331.45
PowerColor Hellhound AMD Radeon RX 7900 XT 20G-L/OC 20GB GDDR6;869.0
Gigabyte GeForce RTX 3080 GAMING OC V2 LHR 10GB GDDR6X;1132.75
PowerColor Red Devil AMD Radeon RX 7800 XT 16GB GDDR6;700.86
Gigabyte GeForce RTX 4070 Ti GAMING OC 12GB GDDR6X DLSS3;1175.64
Zotac Gaming GeForce RTX 3080 Ti AMP Holo LHR 12GB GDDR6X;2755.25
MSI GeForce RTX 4060 Ti GAMING X SLIM 16GB GDDR6 DLSS3;619.0
Sapphire AMD Radeon RX 7900 XT Gaming 20GB GDDR6;1633.0
Gigabyte GeForce RTX 3060 GAMING OC 12GB GDDR6;542.58
ASUS ProArt GeForce RTX 4070 OC Edition 12GB GDDR6X DLSS3;741.88
Zotac Gaming GeForce RTX 4060 Ti TWIN EDGE 16GB GDDR6 DLSS3;559.0
PNY QUADRO T1000 8GB GDDR6 Low Profile;477.34
Inno3D GeForce RTX 4060 TWIN X2 White 8GB GDDR6 DLSS3;370.23
ASUS Dual Radeon RX 6500 XT OC Edition 4GB GDDR6;292.16
ASUS Dual GeForce RTX 4060 Ti OC Edition 16GB GDDR6 DLSS3;529.0
Palit JetStream GeForce RTX 4080 16GB GDDR6X DLSS 3;1326.23
Asrock Radeon RX 6900 XT Phantom Gaming OC Edition 16GB GDDR6;1951.2
Zotac Gaming GeForce RTX 4070 AMP AIRO 12GB GDDR6X DLSS3;874.85
ASUS ProArt GeForce RTX 4060 Ti OC Edition 16GB GDDR6 DLSS3;605.75
Powercolor Hellhound AMD Radeon RX 6600XT 8GB GDDR6;650.08
ASUS Phoenix Radeon RX 6400 4GB GDDR6;218.43
AMD Radeon PRO W7900 48GB GDDR6;4837.09
Sapphire NITRO+ AMD Radeon RX 7900 XT Vapor-X 20GB GDDR6;1017.34
Sapphire Pulse AMD Radeon RX 7600 Gaming 8GB GDDR6;329.99
Gigabyte AMD Radeon RX 6700 XT GAMING OC 12GB GDDR6;993.21
PNY GeForce GT 730 2GB GDDR3 Low Profile;98.21
MSI AMD Radeon RX 6700 XT GAMING X 12GB GDDR6;614.9
MSI GeForce RTX 4060 Ti VENTUS 3X OC 8 GB GDDR6 DLSS3;510.98
Sapphire PURE AMD Radeon RX 7800 XT Gaming 16GB GDDR6;619.0
Asus ROG Strix GeForce RTX 3080 Ti OC Edition 12GB GDDR6X;1858.11
ASUS TUF Gaming GeForce GTX 1650 V2 4GB GDDR6;206.75
XFX SPEEDSTER SWFT210 AMD Radeon RX 7600 Core Gaming 8GB GDDR6;387.65
ASUS TUF Gaming GeForce RTX 3080 V2 OC Edition LHR 10GB GDDR6X;961.54
PowerColor Red Dragon Radeon RX 550 4GB GDDR5 Low Profile;97.48
ASUS Phoenix GeForce GTX 1650 EVO OC Edition 4GB GDDR6;193.68
AMD Radeon Pro VII 16GB DDR3;384.23
EVGA GeForce GTX 1650 SC ULTRA GAMING 4GB GDDR5;272.51
Palit GeForce RTX 4060 Ti JetStream 16GB GDDR6 DLSS 3;528.34
PNY GeForce RTX 4070 Ti VERTO Triple Fan White Edition 12GB GDDR6X DLSS3;1087.71
Zotac Gaming GeForce RTX 4070 Twin Edge OC 12GB GDDR6X DLSS3;724.01
ASUS ROG Strix GeForce RTX 4090 White Edition 24GB GDDR6X DLSS3;3027.98
XFX Speedster SWFT 210 AMD Radeon RX 6600 XT 8GB GDDR6;686.02
XFX SPEEDSTER QICK308 AMD Radeon RX 7600 Black Gaming 8GB GDDR6;401.38
Zotac Gaming GeForce RTX 4060 Twin Edge OC White Edition 8GB GDDR6 DLSS3;373.67
ASUS ROG Strix GeForce RTX 4090 24GB GDDR6X DLSS3;2886.65
Gigabyte GeForce GTX 1660 SUPER OC 6GB GDDR6;567.76
Gigabyte GeForce RTX 4070 Ti GAMING 12GB GDDR6X DLSS3;1018.22
Gigabyte GeForce RTX 4070 Windforce OC 12 GB GDDR6X DLSS3;729.0
ASUS Phoenix GeForce RTX 3050 V2 8GB GDDR6;270.94
Zotac Gaming Geforce RTX 3080 TRINITY OC LHR 12GB GDDR6X;1126.0
Inno3D Geforce RTX 3050 TWIN X2 8GB GDDR6;402.5
Gigabyte GeForce RTX 3070 EAGLE OC 8GB GDDR6 Rev 2.0;793.84
ASUS Phoenix GeForce RTX 3050 8GB GDDR6;425.8
MSI GeForce RTX 3090 VENTUS 3X OC 24GB GDDR6X;2034.9
Asrock Challenger RX 6500XT ITX 4GB GDDR6;271.81
PNY Nvidia Quadro RTX 4000 SFF Ada Generation 20GB GDDR6;1988.23
EVGA GeForce RTX 2060 SC OVERCLOCKED 6GB GDDR6;568.82
Biostar GeForce GT1030 4GB GDDR4;159.73
MSI GeForce RTX 4070 GAMING X SLIM White Edition 12GB GDDR6 DLSS3;823.06
MSI GeForce RTX 3090 Ti SUPRIM X 24GB GDDR6X;2439.9
Gigabyte GeForce GTX 1660 OC 6GB GDDR5;368.77
Asus TUF Gaming Radeon RX 6700 XT OC Edition 12GB GDDR6;1923.29
Gigabyte GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X;1615.05
PNY GeForce RTX 4080 XLR8 Gaming Verto EPIC-X RGB TF OC 16GB GDDR6X DLSS3;1659.9
Gigabyte GeForce RTX 3090 Eagle OC 24G 24GB GDDR6X;1871.5
Biostar GeForce GTX 1660Ti Extreme Gaming 6GB GDDR6;229.1
